,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
12,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,10001018044P6,AGROECOSSISTEMAS AMAZÔNICOS,AMAZONIANS AGROECOSYSTEMS,MESTRADO,A,2020,2020,EM FUNCIONAMENTO
227,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,15002012,590,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15002012006P7,SAÚDE E PRODUÇÃO ANIMAL NA AMAZÔNIA,ANIMAL HEALTH AND PRODUCTION IN THE AMAZON,MESTRADO/DOUTORADO,4,2010,2010/2014,EM FUNCIONAMENTO
358,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20002017005P5,DEFESA SANITÁRIA ANIMAL,ANIMAL HEALTH DEFENSE,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,5,2012,2012,EM FUNCIONAMENTO
161,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,CASTANHAL,ACADÊMICO,15001016057P4,SAÚDE ANIMAL NA AMAZÔNIA,ANIMAL HEALTH IN AMAZONIA,MESTRADO/DOUTORADO,4,2009,2009/2015,EM FUNCIONAMENTO
228,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,REPRODUÇÃO ANIMAL,REPRODUÇÃO ANIMAL,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,15002012,590,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,SIM,UFPA - CASTANHAL;UFPA,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001059001P0,REPRODUÇÃO ANIMAL NA AMAZÔNIA,ANIMAL REPRODUCTION IN THE AMAZON - REPROAAMAZON,MESTRADO/DOUTORADO,A,2019,2019/2019,EM FUNCIONAMENTO
306,2021,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA,NÃO SE APLICA,NÃO SE APLICA,23,ZOOTECNIA / RECURSOS PESQUEIROS,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,CHAPADINHA,ACADÊMICO,20001010026P6,CIÊNCIA ANIMAL,ANIMAL SCIENCE,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
156,2021,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA,NÃO SE APLICA,NÃO SE APLICA,23,ZOOTECNIA / RECURSOS PESQUEIROS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,CASTANHAL,ACADÊMICO,15001016028P4,CIÊNCIA ANIMAL,ANIMAL SCIENCE,MESTRADO/DOUTORADO,4,1999,1999/2009,EM FUNCIONAMENTO
64,2021,CIÊNCIAS AGRÁRIAS,RECURSOS PESQUEIROS E ENGENHARIA DE PESCA,RECURSOS PESQUEIROS E ENGENHARIA DE PESCA,NÃO SE APLICA,NÃO SE APLICA,23,ZOOTECNIA / RECURSOS PESQUEIROS,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015025P7,CIÊNCIA ANIMAL E RECURSOS PESQUEIROS,ANIMAL SCIENCE AND FISHERIES RESOURCES,MESTRADO/DOUTORADO,3,2007,2007/2007,EM FUNCIONAMENTO
102,2021,CIÊNCIAS HUMANAS,ANTROPOLOGIA,ANTROPOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019039P0,ANTROPOLOGIA SOCIAL,ANTHOPOLOGY,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
205,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,CASTANHAL,ACADÊMICO,15001016156P2,ESTUDOS ANTRÓPICOS NA AMAZÔNIA,ANTHROPIC STUDIES IN AMAZONIA,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
97,2021,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA,NÃO SE APLICA,NÃO SE APLICA,15,MEDICINA I,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,SIM,FUAM,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12008010071P7,CIÊNCIAS APLICADAS À DERMATOLOGIA,APPLIED SCIENCES TO DERMATOLOGY,MESTRADO PROFISSIONAL,3,2017,2017,EM FUNCIONAMENTO
392,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014080P3,TECNOLOGIAS APLICADAS A ANIMAIS DE INTERESSE REGIONAL,APPLIED TECHNOLOGIES FOR REGIONAL ANIMALS,MESTRADO/DOUTORADO,A,2019,2019/2019,EM FUNCIONAMENTO
148,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016052P2,ECOLOGIA AQUÁTICA E PESCA,AQUATIC ECOLOGY AND FISHERIES,MESTRADO/DOUTORADO,5,2007,2007/2007,EM FUNCIONAMENTO
368,2021,CIÊNCIAS HUMANAS,ARQUEOLOGIA,ARQUEOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014032P9,ARQUEOLOGIA,ARCHAEOLOGY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
311,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010032P6,LETRAS,ARTS AND LAN LANGUAGE POST-GRADUATION COURSE,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
256,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015072P9,BIODIVERSIDADE,BIODIVERSITY,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
131,2021,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,SIM,UNIR;UNIFAP;UNICEUMA;UNEMAT;UFT;UFRR;UFRA;UFOPA;UFMT;UFMA;UFAM;UFAC;UEPA;UEMA;UEAP;UEA;MPEG;INPA;IEPA;FIOCRUZ-RO;FIOCRUZ;EMBRAPA-CPATU;EMBRAPA-CPAFAP;EMBRAPA-CPAFAC;EMBRAPA-CPAF/RR;EMBRAPA-CPAA;CPAFRO / RO;CENARGEN,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,12001015038P1,BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE,BIODIVERSITY AND BIOTECHNOLOGY - BIONORTE NETWORK,DOUTORADO,4,2012,2012,EM FUNCIONAMENTO
180,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,ALTAMIRA,ACADÊMICO,15001016081P2,BIODIVERSIDADE E CONSERVAÇÃO,BIODIVERSITY AND CONSERVATION,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
340,2021,CIÊNCIAS BIOLÓGICAS,ZOOLOGIA,CONSERVAÇÃO DAS ESPÉCIES ANIMAIS,ZOOLOGIA APLICADA,CONSERVAÇÃO DAS ESPÉCIES ANIMAIS,7,BIODIVERSIDADE,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010012P5,BIODIVERSIDADE E CONSERVAÇÃO,BIODIVERSITY AND CONSERVATION,MESTRADO,3,2005,2005,EM FUNCIONAMENTO
377,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,FLORIANO,ACADÊMICO,21001014084P9,BIODIVERSIDADE E CONSERVAÇÃO,BIODIVERSITY AND CONSERVATION,MESTRADO,A,2020,2020,EM FUNCIONAMENTO
271,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA DE ECOSSISTEMAS,ECOLOGIA DE ECOSSISTEMAS,NÃO SE APLICA,7,BIODIVERSIDADE,15027007,NI,MPEG,MUSEU PARAENSE EMÍLIO GOELDI,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,PA,BELÉM,ACADÊMICO,15027007039P2,BIODIVERSIDADE E EVOLUÇÃO,BIODIVERSITY AND EVOLUTION,MESTRADO/DOUTORADO,4,2015,2015/2015,EM FUNCIONAMENTO
285,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PORTO NACIONAL,ACADÊMICO,16003012006P6,"BIODIVERSIDADE, ECOLOGIA E CONSERVAÇÃO.","BIODIVERSITY, ECOLOGY AND CONSERVATION",MESTRADO,3,2008,2008,EM FUNCIONAMENTO
349,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,CAXIAS,ACADÊMICO,20002017010P9,"BIODIVERSIDADE, AMBIENTE E SAÚDE","BIODIVERSITY, ENVIRONMENT AND HEALTH",MESTRADO,3,2014,2014,EM FUNCIONAMENTO
230,2021,CIÊNCIAS BIOLÓGICAS,BOTÂNICA,BOTÂNICA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,15002012,590,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,SIM,MPEG,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15002012004P4,CIÊNCIAS BIOLÓGICAS,BIOLOGICAL SCIENCES,MESTRADO/DOUTORADO,4,2001,2001/2019,EM FUNCIONAMENTO
200,2021,CIÊNCIAS BIOLÓGICAS,MICROBIOLOGIA,MICROBIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,9,CIÊNCIAS BIOLÓGICAS III,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016040P4,BIOLOGIA DE AGENTES INFECCIOSOS E PARASITÁRIOS,BIOLOGY OF INFECTIOUS AND PARASITARY AGENTS,MESTRADO/DOUTORADO,6,2004,2004/2005,EM FUNCIONAMENTO
253,2021,CIÊNCIAS BIOLÓGICAS,FISIOLOGIA,FISIOLOGIA GERAL,FISIOLOGIA GERAL,NÃO SE APLICA,8,CIÊNCIAS BIOLÓGICAS II,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015004P3,BIOCIÊNCIAS,BIOSCIENCE,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
295,2021,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,GURUPI,ACADÊMICO,16003012011P0,BIOTECNOLOGIA,BIOTECHNOLOGY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
39,2021,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015013P9,BIOTECNOLOGIA,BIOTECHNOLOGY,MESTRADO/DOUTORADO,4,2001,2003/2001,EM FUNCIONAMENTO
87,2021,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010003P1,BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA,BIOTECHNOLOGY AND NATURAL RESOURCES OF AMAZON,MESTRADO,3,2003,2003,EM FUNCIONAMENTO
121,2021,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,"RELAÇÕES INTERNACIONAIS, BILATERAIS E MULTILATERAIS",POLÍTICA INTERNACIONAL,"RELAÇÕES INTERNACIONAIS, BILATERAIS E MULTILATERAIS",39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,PROFISSIONAL,14001012156P0,ESTUDOS DE FRONTEIRA,BORDER STUDIES,MESTRADO PROFISSIONAL,3,2017,2017,EM FUNCIONAMENTO
170,2021,ENGENHARIAS,ENGENHARIA QUÍMICA,ENGENHARIA QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,12,ENGENHARIAS II,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016010P8,ENGENHARIA QUÍMICA,CHEMICAL ENGINEERING GRADUATE PROGRAM,MESTRADO,3,1992,1992,EM FUNCIONAMENTO
265,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,15025012,18440,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,MARABÁ,ACADÊMICO,15025012071P6,QUIMICA,CHEMISTRY,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
360,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,20003013,NI,IFMA - MC,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO MARANHÃO - MONTE CASTELO,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20003013002P2,QUÍMICA,CHEMISTRY,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
218,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,ABAETETUBA,ACADÊMICO,15001016157P9,CIDADES: TERRITÓRIOS E IDENTIDADES,"CITIES, TERRITORIES AND IDENTITIES",MESTRADO,3,2017,2017,EM FUNCIONAMENTO
378,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,FITOTECNIA,FITOTECNIA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,BOM JESUS,ACADÊMICO,21001014023P0,CIÊNCIAS AGRÁRIAS,CIÊNCIAS AGRÁRIAS,MESTRADO/DOUTORADO,4,2011,2011/2020,EM FUNCIONAMENTO
186,2021,CIÊNCIAS BIOLÓGICAS,BIOLOGIA GERAL,BIOLOGIA GERAL,NÃO SE APLICA,NÃO SE APLICA,6,CIÊNCIAS BIOLÓGICAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016077P5,ANÁLISES CLÍNICAS,CLINICAL LABORATORY,MESTRADO PROFISSIONAL,4,2013,2013,EM FUNCIONAMENTO
